"bsn",Parkplatz für Schwerbehinderte vorhanden,Rollstuhlgerechter Aufzug,Rollstuhlgerechtes WC,Zugänglich für Rollstuhlbenutzer,Beratungsstelle für Hörbehinderte,Beratungsstelle für Sprachbehinderte
"09G17",,,1,,,
"09G18",,,,,,
"09G19",,,,,,
"09G20",,,1,1,,
"09G21",,,,,,
"09G22",1,,,,,
"09G23",,,,,,
"09G24",,,,,,
"09G25",,,,1,,
"09G26",,,,,,
"09G27",,1,1,1,,
"09G29",,,,,,
"09K01",,,,,,
"09K02",,,,,,
"09K03",,,,,,
"09K04",,,,,,
"09K05",,,1,1,,
"09K06",,,,,,
"09K07",,,,,,
"09K08",,,,,,
"09K09",,,,,,
"09P01",1,,1,1,,
"09P05",,,,,,
"09P06",,,,,,
"09P07",,,,,,
"09P08",,,,,,
"09P09",,,,,,
"09P09",,,,,,
"09P10",,,,,,
"09P11",,,,,,
"09P12",,,,,,
"09P13",,,,,,
"09P15",,,,,,
"09P16",,,,,,
"09S03",1,1,1,1,,
"09S04",,,,,,1
"09S05",,,,,,
"09S06",,,,,,
"09Y03",,,,,,
"09Y04",,,,,,
"09Y05",,,,1,,
"09Y06",,,,,,
"09Y10",1,1,1,1,,
"09Y11",1,1,1,,,
"10A04",1,1,1,1,,
"10A06",,,,,,
"10A07",,,,,,
"10A08",,,,,,
"10A09",,,,,,
"10B01",1,1,1,1,,
"10B01",1,1,1,1,,
"10B01",1,1,1,1,,
"10B01",1,1,1,1,,
"10B02",1,1,1,1,,
"10B02",1,1,1,1,,
"10B02",1,1,1,1,,
"10B02",1,1,1,1,,
"10B02",1,1,1,1,,
"10E01",,,,,,
"10E02",,,,,,
"10E04",,,,,,
"10G01",,,,,,
"10G03",,,,,,
"10G04",,,,,,
"10G05",,,,1,,
"10G06",,1,1,1,,
"10G07",1,,,,,
"10G08",,,1,1,,
"10G09",,,,,,
"10G10",,,,,,
"10G11",,,,,,
"10G12",,,,,,
"10G13",,,,,,
"10G14",1,1,1,1,,
"10G16",,,,,,
"10G17",,,,1,,
"10G18",,,,,,
"10G19",,,,,,
"10G22",,1,1,1,,
"10G25",,,,,,
"10G26",,1,1,1,,
"10G28",,1,1,1,,
"10G29",,,,,,
"10G30",,,,,,
"10G31",,,,,,
"10G32",1,1,1,1,,
"10G33",,,,,,
"10K01",1,1,1,1,,
"10K02",,,,,,
"10K03",,,1,1,,
"10K03",,,1,1,,
"10K04",,,,,,
"10K05",,,,,,
"10K06",,,,,,
"10K07",,,,,,
"10K08",,1,1,1,,
"10K09",1,1,1,,,
"10K10",,,,,,
"10P03",1,,,,,
"10P03",1,,,,,
"10P05",,,,,,
"10P09",,,,,,
"10P10",,,,,,
"10P12",,,,,,
"10P13",,,,,,
