bsn,courses
12G12,
12G13,
12G14,
12G15,
12G17,
12G18,
12G19,
12G20,
12G21,
12G22,
12G23,
12G24,
12G26,
12G27,
12G28,
12G29,
12G30,
12G31,
12G32,
12G33,
12G34,
12K01,
12K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12K03,
12K04,
12K05,
12K06,
12K07,
12K08,
12K09,
12K10,
12K11,
12P01,
12P02,
12P03,
12P03,
12P04,
12P04,
12P06,
12P07,
12P07,
12P10,
12P11,
12P13,
12P13,
12P13,
12P14,
12S01,
12S02,
12S03,
12S04,
12S05,
12S06,
12S06,
12S07,
12Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
12Y02,
12Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Politische Weltkunde, Wirtschaftswissenschaft/-lehre"
12Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde"
12Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12Y06,
12Y07,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Mathematik, Physik, Politische Weltkunde, Wirtschaftswissenschaft/-lehre"
