"bsn","languages"
"09K07","Englisch Französisch Spanisch"
"09K08","Englisch Französisch Spanisch"
"09K09","Englisch Französisch Spanisch"
"09P01","Russisch"
"09P05","Englisch"
"09P06","Englisch Französisch Spanisch"
"09P07","Englisch Französisch Spanisch Latein"
"09P08","Englisch"
"09P09","Englisch Französisch Spanisch Latein"
"09P09","Englisch Französisch Spanisch Latein"
"09P10","Englisch"
"09P11","Englisch"
"09P12","Englisch Französisch"
"09P13","Englisch Französisch"
"09P15","Englisch Französisch"
"09P16",""
"09S03",""
"09S04",""
"09S05","Englisch"
"09S06",""
"09Y03","Englisch Französisch Latein Italienisch"
"09Y04","Englisch Französisch Spanisch Latein"
"09Y05","Englisch Französisch Latein Russisch"
"09Y06","Englisch Französisch Spanisch Latein"
"09Y10","Englisch Französisch Latein Russisch"
"09Y11","Englisch Französisch Spanisch Latein"
"10A04","Englisch Französisch Spanisch Latein Russisch"
"10A06",""
"10A07",""
"10A08",""
"10A09",""
"10B01","Englisch"
"10B01","Englisch"
"10B01","Englisch"
"10B01","Englisch Spanisch"
"10B02","Englisch"
"10B02","Englisch"
"10B02","Englisch Französisch"
"10B02",""
"10B02","Englisch"
"10E01",""
"10E02",""
"10E04",""
"10G01","Englisch"
"10G03","Englisch"
"10G04",""
"10G05","Englisch"
"10G06","Englisch"
"10G07","Englisch"
"10G08","Englisch"
"10G09","Englisch"
"10G10",""
"10G11","Englisch"
"10G12","Englisch"
"10G13","Englisch"
"10G14","Englisch"
"10G16","Englisch"
"10G17","Englisch"
"10G18","Englisch"
"10G19","Englisch"
"10G22","Englisch"
"10G25","Englisch"
"10G26","Englisch"
"10G28","Englisch"
"10G29","Englisch"
"10G30","Englisch"
"10G31","Englisch"
"10G32","Englisch"
"10G33","Englisch"
"10K01","Englisch Französisch Russisch"
"10K02","Englisch Französisch Russisch"
"10K03","Englisch Französisch"
"10K03",""
"10K04","Englisch Französisch Spanisch Russisch"
"10K05","Englisch Französisch"
"10K06","Englisch Französisch"
"10K07","Englisch Französisch"
"10K08","Englisch Französisch Russisch"
"10K09","Englisch Französisch"
"10K10","Englisch Spanisch"
"10P03","Englisch"
"10P03","Englisch"
"10P05","Englisch Französisch Spanisch"
"10P09","Englisch"
"10P10","Englisch"
"10P12","Englisch Französisch Spanisch"
"10P13","Englisch"
"10P14","Englisch Französisch"
"10P15",""
"10S04",""
"10S07","Englisch"
"10S08",""
"10S10","Englisch"
"10S11","Englisch"
"10Y01","Englisch Französisch Spanisch Latein"
"10Y02","Englisch Französisch Spanisch Latein"
"10Y03","Englisch Französisch Latein"
"10Y08","Englisch Französisch Latein Russisch Italienisch"
"10Y11","Englisch Französisch Spanisch Latein Japanisch"
"11A02",""
"11A06",""
"11A07","Englisch Französisch Latein Russisch"
"11A08",""
"11B01","Englisch"
"11B01","Englisch"
"11B01","Englisch"
"11B02","Englisch"
"11B02","Englisch"
