bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
03G09,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,7,166,89,77,9,8,1,22,14,8
03G10,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,3,59,26,33,1,0,1,2,0,2
03G10,Jahrgangsstufe 03,Regelklasse,2,47,27,20,0,0,0,2,1,1
03G10,Jahrgangsstufe 04,Regelklasse,2,45,20,25,1,0,1,4,2,2
03G10,Jahrgangsstufe 05,Regelklasse,2,49,30,19,2,2,0,6,5,1
03G10,Jahrgangsstufe 06,Regelklasse,2,48,23,25,0,0,0,3,1,2
03G10,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,22,16,6,2,1,1,2,1,1
03G10,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,104,61,43,1,1,0,5,4,1
03G11,Jahrgangsstufe 03,Regelklasse,5,115,50,65,7,1,6,26,10,16
03G11,Jahrgangsstufe 04,Regelklasse,4,101,53,48,10,4,6,32,14,18
03G11,Jahrgangsstufe 05,Regelklasse,3,71,36,35,5,4,1,22,13,9
03G11,Jahrgangsstufe 06,Regelklasse,3,70,42,28,10,5,5,24,15,9
03G11,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,25,13,12,1,1,0,14,8,6
03G11,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,8,205,89,116,11,4,7,47,15,32
03G12,Jahrgangsstufe 03,Regelklasse,2,53,27,26,1,1,0,9,5,4
03G12,Jahrgangsstufe 04,Regelklasse,2,49,27,22,1,0,1,7,3,4
03G12,Jahrgangsstufe 05,Regelklasse,2,42,19,23,0,0,0,7,3,4
03G12,Jahrgangsstufe 06,Regelklasse,2,30,13,17,1,1,0,5,2,3
03G12,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,151,68,83,7,3,4,36,16,20
03G13,Jahrgangsstufe 03,Regelklasse,3,65,36,29,0,0,0,9,5,4
03G13,Jahrgangsstufe 04,Regelklasse,2,41,24,17,0,0,0,5,2,3
03G13,Jahrgangsstufe 05,Regelklasse,2,34,23,11,0,0,0,8,6,2
03G13,Jahrgangsstufe 06,Regelklasse,2,48,21,27,0,0,0,8,3,5
03G13,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,100,53,47,0,0,0,13,7,6
03G14,Jahrgangsstufe 03,Regelklasse,3,73,48,25,4,2,2,5,3,2
03G14,Jahrgangsstufe 04,Regelklasse,3,66,38,28,3,1,2,4,1,3
03G14,Jahrgangsstufe 05,Regelklasse,3,70,29,41,6,2,4,6,2,4
03G14,Jahrgangsstufe 06,Regelklasse,3,59,23,36,4,2,2,6,3,3
03G14,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,24,17,7,2,2,0,4,4,0
03G14,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,148,76,72,14,11,3,14,11,3
03G14,Schulanfangsphase,Sonderpädagogische Kleinklasse,1,6,4,2,1,0,1,1,0,1
03G15,Jahrgangsstufe 03,Regelklasse,1,16,9,7,2,0,2,3,0,3
03G15,Jahrgangsstufe 04,Jahrgangsübergreifende Lerngruppe,1,24,13,11,3,2,1,4,2,2
03G15,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,89,47,42,12,8,4,14,9,5
03G16,Jahrgangsstufe 03,Regelklasse,2,44,20,24,1,1,0,3,1,2
03G16,Jahrgangsstufe 04,Regelklasse,2,41,32,9,0,0,0,0,0,0
03G16,Jahrgangsstufe 05,Regelklasse,2,30,18,12,1,0,1,1,0,1
03G16,Jahrgangsstufe 06,Regelklasse,2,41,14,27,1,0,1,5,3,2
03G16,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,129,65,64,3,1,2,4,2,2
03G17,Jahrgangsstufe 03,Regelklasse,3,68,36,32,2,2,0,6,3,3
03G17,Jahrgangsstufe 04,Regelklasse,3,65,30,35,2,1,1,7,3,4
03G17,Jahrgangsstufe 05,Regelklasse,2,42,25,17,1,1,0,2,1,1
03G17,Jahrgangsstufe 06,Regelklasse,2,32,18,14,4,1,3,5,2,3
03G17,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,153,75,78,0,0,0,12,5,7
03G18,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,9,229,121,108,7,4,3,7,4,3
03G18,Jahrgangsstufe 04,Regelklasse,3,56,26,30,0,0,0,0,0,0
03G18,Jahrgangsstufe 05,Regelklasse,3,65,35,30,2,1,1,2,1,1
03G18,Jahrgangsstufe 06,Regelklasse,3,57,27,30,0,0,0,0,0,0
03G20,Jahrgangsstufe 03,Regelklasse,2,54,23,31,1,0,1,5,2,3
03G20,Jahrgangsstufe 04,Regelklasse,2,46,30,16,0,0,0,3,1,2
03G20,Jahrgangsstufe 05,Regelklasse,2,39,16,23,0,0,0,2,1,1
03G20,Jahrgangsstufe 06,Regelklasse,2,37,17,20,0,0,0,4,2,2
03G20,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,96,50,46,4,2,2,9,5,4
03G21,Jahrgangsstufe 03,Regelklasse,3,81,43,38,1,0,1,1,0,1
03G21,Jahrgangsstufe 04,Regelklasse,3,76,40,36,0,0,0,0,0,0
03G21,Jahrgangsstufe 05,Regelklasse,3,66,27,39,0,0,0,1,1,0
03G21,Jahrgangsstufe 06,Regelklasse,3,75,35,40,0,0,0,0,0,0
03G21,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,147,78,69,0,0,0,1,0,1
03G22,Jahrgangsstufe 03,Regelklasse,2,46,27,19,0,0,0,1,0,1
03G22,Jahrgangsstufe 04,Regelklasse,2,43,17,26,0,0,0,1,0,1
03G22,Jahrgangsstufe 05,Regelklasse,2,41,25,16,0,0,0,1,1,0
03G22,Jahrgangsstufe 06,Regelklasse,2,43,20,23,0,0,0,0,0,0
03G22,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,102,55,47,4,2,2,4,2,2
03G23,Jahrgangsstufe 03,Regelklasse,2,55,27,28,0,0,0,0,0,0
03G23,Jahrgangsstufe 04,Regelklasse,2,53,31,22,1,0,1,1,0,1
03G23,Jahrgangsstufe 05,Regelklasse,2,53,27,26,0,0,0,0,0,0
03G23,Jahrgangsstufe 06,Regelklasse,2,53,24,29,0,0,0,0,0,0
03G23,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,105,56,49,1,0,1,1,0,1
03G24,Jahrgangsstufe 03,Regelklasse,3,79,38,41,0,0,0,4,1,3
03G24,Jahrgangsstufe 04,Regelklasse,4,89,42,47,0,0,0,7,4,3
03G24,Jahrgangsstufe 05,Regelklasse,4,90,38,52,0,0,0,7,3,4
03G24,Jahrgangsstufe 06,Regelklasse,2,54,26,28,0,0,0,9,3,6
03G24,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,8,176,94,82,0,0,0,3,2,1
03G25,Jahrgangsstufe 03,Regelklasse,4,88,55,33,3,2,1,14,7,7
03G25,Jahrgangsstufe 04,Regelklasse,3,71,32,39,4,0,4,7,2,5
03G25,Jahrgangsstufe 05,Regelklasse,2,47,24,23,0,0,0,11,6,5
03G25,Jahrgangsstufe 06,Regelklasse,2,50,24,26,2,1,1,8,4,4
03G25,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,153,78,75,3,1,2,26,13,13
03G26,Jahrgangsstufe 03,Regelklasse,3,74,37,37,2,1,1,6,4,2
03G26,Jahrgangsstufe 04,Regelklasse,3,74,37,37,3,0,3,7,1,6
03G26,Jahrgangsstufe 05,Regelklasse,3,62,26,36,2,1,1,3,2,1
03G26,Jahrgangsstufe 06,Regelklasse,2,44,23,21,1,0,1,1,0,1
03G26,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,22,12,10,1,0,1,1,0,1
03G26,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,156,82,74,7,7,0,14,13,1
03G27,Jahrgangsstufe 03,Regelklasse,3,76,41,35,1,1,0,1,1,0
03G27,Jahrgangsstufe 04,Regelklasse,2,50,22,28,0,0,0,0,0,0
03G27,Jahrgangsstufe 05,Regelklasse,2,51,21,30,1,0,1,1,0,1
03G27,Jahrgangsstufe 06,Regelklasse,3,67,42,25,1,1,0,0,0,0
03G27,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,5,129,64,65,4,2,2,4,1,3
03G28,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,3,71,42,29,0,0,0,1,0,1
03G28,Jahrgangsstufe 03,Regelklasse,2,45,21,24,0,0,0,0,0,0
03G28,Jahrgangsstufe 04,Regelklasse,3,66,33,33,0,0,0,1,0,1
03G28,Jahrgangsstufe 05,Regelklasse,2,57,29,28,1,1,0,0,0,0
03G28,Jahrgangsstufe 06,Regelklasse,2,53,27,26,0,0,0,2,1,1
03G28,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,5,106,62,44,0,0,0,3,0,3
03G29,Jahrgangsstufe 03,Regelklasse,3,76,31,45,0,0,0,4,4,0
03G29,Jahrgangsstufe 04,Regelklasse,2,38,17,21,1,0,1,1,0,1
03G29,Jahrgangsstufe 05,Regelklasse,3,56,36,20,0,0,0,1,1,0
03G29,Jahrgangsstufe 06,Regelklasse,2,52,24,28,0,0,0,1,0,1
03G29,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,120,59,61,1,1,0,5,4,1
03G32,Jahrgangsstufe 03,Regelklasse,3,80,49,31,0,0,0,6,3,3
03G32,Jahrgangsstufe 04,Regelklasse,3,61,34,27,0,0,0,4,2,2
03G32,Jahrgangsstufe 05,Regelklasse,2,51,24,27,0,0,0,6,1,5
03G32,Jahrgangsstufe 06,Regelklasse,2,53,26,27,0,0,0,8,5,3
03G32,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,128,68,60,0,0,0,5,4,1
03G33,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,141,72,69,0,0,0,21,9,12
03G33,Jahrgangsstufe 03,Regelklasse,2,47,17,30,0,0,0,0,0,0
03G33,Jahrgangsstufe 04,Regelklasse,4,93,63,30,0,0,0,8,7,1
03G33,Jahrgangsstufe 05,Regelklasse,4,81,43,38,0,0,0,13,8,5
03G33,Jahrgangsstufe 06,Regelklasse,4,79,44,35,0,0,0,12,6,6
03G33,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,5,127,66,61,0,0,0,6,3,3
03G34,Jahrgangsstufe 03,Regelklasse,3,68,37,31,6,5,1,6,4,2
03G34,Jahrgangsstufe 04,Regelklasse,3,81,47,34,0,0,0,2,1,1
03G34,Jahrgangsstufe 05,Regelklasse,3,68,31,37,0,0,0,4,2,2
03G34,Jahrgangsstufe 06,Regelklasse,3,73,39,34,0,0,0,0,0,0
03G34,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,154,78,76,0,0,0,7,5,2
03G35,Jahrgangsstufe 03,Regelklasse,1,22,15,7,0,0,0,3,2,1
03G35,Jahrgangsstufe 04,Regelklasse,1,24,10,14,0,0,0,3,1,2
03G35,Jahrgangsstufe 05,Regelklasse,1,24,16,8,0,0,0,3,2,1
03G35,Jahrgangsstufe 06,Regelklasse,1,26,14,12,0,0,0,1,0,1
03G35,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,2,50,28,22,0,0,0,9,4,5
03G36,Jahrgangsstufe 03,Regelklasse,1,23,18,5,2,2,0,2,2,0
03G36,Jahrgangsstufe 04,Regelklasse,1,16,9,7,2,2,0,2,2,0
03G36,Jahrgangsstufe 05,Regelklasse,1,21,17,4,0,0,0,0,0,0
03G36,Jahrgangsstufe 06,Regelklasse,1,19,11,8,0,0,0,0,0,0
03G36,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,3,59,33,26,0,0,0,3,1,2
03G37,Jahrgangsstufe 03,Regelklasse,2,51,31,20,3,2,1,3,2,1
03G37,Jahrgangsstufe 04,Regelklasse,2,52,34,18,6,6,0,6,6,0
03G37,Jahrgangsstufe 05,Regelklasse,2,42,22,20,5,3,2,5,3,2
03G37,Jahrgangsstufe 06,Regelklasse,2,37,19,18,2,0,2,2,0,2
03G37,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,117,53,64,21,14,7,21,14,7
03G38,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,7,184,99,85,3,1,2,6,4,2
03G38,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,7,169,90,79,3,2,1,3,2,1
03G39,Jahrgangsstufe 03,Regelklasse,3,66,28,38,1,0,1,1,0,1
03G39,Jahrgangsstufe 04,Regelklasse,3,71,43,28,0,0,0,0,0,0
03G39,Jahrgangsstufe 05,Regelklasse,3,56,32,24,0,0,0,0,0,0
03G39,Jahrgangsstufe 06,Regelklasse,2,45,21,24,1,0,1,1,0,1
03G39,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,138,74,64,3,3,0,4,3,1
03G40,Jahrgangsstufe 03,Regelklasse,1,20,11,9,0,0,0,3,2,1
03G40,Jahrgangsstufe 04,Jahrgangsübergreifende Lerngruppe,2,40,15,25,0,0,0,4,2,2
03G40,Jahrgangsstufe 04,Regelklasse,2,41,21,20,1,0,1,7,3,4
03G40,Jahrgangsstufe 04,Sonderpädagogische Kleinklasse,1,6,6,0,0,0,0,0,0,0
03G40,Jahrgangsstufe 05,Regelklasse,2,59,19,40,0,0,0,11,3,8
03G40,Jahrgangsstufe 06,Regelklasse,3,73,30,43,1,0,1,16,9,7
03G40,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,152,61,91,1,1,0,30,13,17
03G41,Jahrgangsstufe 03,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,14,4,10,14,4,10,14,4,10
03G41,Jahrgangsstufe 03,Regelklasse,3,72,39,33,9,4,5,19,8,11
03G41,Jahrgangsstufe 04,Regelklasse,3,63,31,32,7,7,0,13,9,4
03G41,Jahrgangsstufe 05,Regelklasse,3,63,31,32,15,7,8,19,9,10
03G41,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,14,8,6,14,8,6,14,8,6
03G41,Jahrgangsstufe 06,Regelklasse,3,67,26,41,3,2,1,17,8,9
03G41,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,145,68,77,19,8,11,39,16,23
03G43,Jahrgangsstufe 03,Regelklasse,3,71,40,31,0,0,0,4,2,2
03G43,Jahrgangsstufe 04,Regelklasse,3,80,39,41,0,0,0,3,2,1
03G43,Jahrgangsstufe 05,Regelklasse,2,44,27,17,0,0,0,5,3,2
03G43,Jahrgangsstufe 06,Regelklasse,2,45,19,26,0,0,0,2,1,1
03G43,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,143,80,63,4,2,2,15,6,9
03G44,Jahrgangsstufe 03,Regelklasse,2,53,29,24,1,1,0,2,2,0
03G44,Jahrgangsstufe 04,Regelklasse,2,49,26,23,1,1,0,3,2,1
03G44,Jahrgangsstufe 05,Regelklasse,2,33,20,13,0,0,0,2,2,0
03G44,Jahrgangsstufe 06,Regelklasse,1,26,12,14,0,0,0,1,0,1
03G44,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,22,8,14,0,0,0,0,0,0
03G44,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,95,45,50,1,1,0,6,3,3
03G45,Jahrgangsstufe 03,Regelklasse,1,28,18,10,2,1,1,3,1,2
03G45,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,92,52,40,6,2,4,20,12,8
03G46,Jahrgangsstufe 03,Regelklasse,2,46,19,27,1,0,1,12,5,7
03G46,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,95,46,49,2,0,2,17,10,7
03G47,Jahrgangsstufe 04,Jahrgangsübergreifende Lerngruppe,2,42,21,21,0,0,0,5,2,3
03G47,Jahrgangsstufe 05,Regelklasse,1,23,9,14,1,0,1,2,0,2
03G47,Jahrgangsstufe 06,Regelklasse,1,21,12,9,0,0,0,0,0,0
03G47,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,2,54,27,27,2,1,1,4,2,2
03K01,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,72,28,44,9,7,2,10,8,2
03K01,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,100,49,51,15,8,7,29,15,14
03K01,E-Phase,Gymnasiale Oberstufe gem. § 5 VO-GO,2,56,22,34,5,3,2,12,6,6
03K01,E-Phase,Klasse der Staatlichen Europaschule,1,19,11,8,7,5,2,15,10,5
03K01,E-Phase,Regelklasse,1,27,14,13,0,0,0,4,3,1
03K01,Jahrgangsstufe 07,Klasse der Staatlichen Europaschule,1,15,7,8,10,4,6,10,4,6
03K01,Jahrgangsstufe 07,Regelklasse,5,130,66,64,4,2,2,3,2,1
03K01,Jahrgangsstufe 08,Klasse der Staatlichen Europaschule,1,24,14,10,12,7,5,12,7,5
03K01,Jahrgangsstufe 08,Regelklasse,5,130,64,66,6,3,3,7,4,3
03K01,Jahrgangsstufe 09,Klasse der Staatlichen Europaschule,2,31,10,21,10,5,5,10,5,5
03K01,Jahrgangsstufe 09,Regelklasse,4,105,54,51,11,6,5,7,4,3
03K01,Jahrgangsstufe 10,Klasse der Staatlichen Europaschule,1,28,11,17,15,4,11,15,4,11
03K01,Jahrgangsstufe 10,Regelklasse,5,139,71,68,12,5,7,13,6,7
03K02,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,90,47,43,7,5,2,6,2,4
03K02,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,86,36,50,10,3,7,0,0,0
03K02,E-Phase,Gymnasiale Oberstufe gem. § 5 VO-GO,1,26,13,13,3,1,2,3,1,2
03K02,E-Phase,Regelklasse,3,81,33,48,5,3,2,7,3,4
03K02,Jahrgangsstufe 07,Regelklasse,6,131,69,62,2,1,1,4,1,3
03K02,Jahrgangsstufe 08,Regelklasse,6,130,63,67,5,1,4,6,4,2
03K02,Jahrgangsstufe 09,Regelklasse,5,105,53,52,4,2,2,15,8,7
03K02,Jahrgangsstufe 10,Regelklasse,6,125,55,70,5,3,2,15,8,7
03K03,Jahrgangsstufe 07,Regelklasse,4,95,48,47,0,0,0,1,0,1
03K03,Jahrgangsstufe 08,Regelklasse,4,104,58,46,3,0,3,7,4,3
03K03,Jahrgangsstufe 09,Regelklasse,4,104,67,37,0,0,0,4,4,0
03K03,Jahrgangsstufe 10,Regelklasse,4,115,53,62,1,1,0,3,1,2
03K04,Jahrgangsstufe 07,Regelklasse,4,103,61,42,10,7,3,16,13,3
03K04,Jahrgangsstufe 08,Regelklasse,7,174,100,74,9,5,4,18,11,7
03K04,Jahrgangsstufe 09,Produktives Lernen,1,21,11,10,4,3,1,5,4,1
03K04,Jahrgangsstufe 09,Regelklasse,4,104,63,41,12,10,2,13,11,2
03K04,Jahrgangsstufe 10,Produktives Lernen,1,12,6,6,1,0,1,1,0,1
03K04,Jahrgangsstufe 10,Regelklasse,1,26,16,10,4,1,3,7,4,3
03K04,Jahrgangsstufe 10,Regelklasse,1,17,12,5,0,0,0,3,1,2
03K05,Jahrgangsstufe 07,Regelklasse,4,103,50,53,4,3,1,5,4,1
03K05,Jahrgangsstufe 08,Regelklasse,4,105,58,47,4,2,2,7,2,5
03K05,Jahrgangsstufe 09,Regelklasse,3,78,45,33,2,0,2,10,5,5
03K05,Jahrgangsstufe 10,Regelklasse,2,44,24,20,7,4,3,10,6,4
03K06,Jahrgangsstufe 07,Regelklasse,3,78,40,38,8,4,4,17,9,8
03K06,Jahrgangsstufe 08,Regelklasse,5,130,66,64,16,6,10,27,14,13
03K06,Jahrgangsstufe 09,Produktives Lernen,2,36,14,22,1,0,1,2,1,1
03K06,Jahrgangsstufe 09,Regelklasse,3,80,46,34,4,1,3,14,8,6
03K06,Jahrgangsstufe 10,Regelklasse,2,41,23,18,15,8,7,18,9,9
03K07,Jahrgangsstufe 07,Regelklasse,3,75,46,29,5,3,2,3,2,1
03K07,Jahrgangsstufe 08,Regelklasse,3,78,55,23,11,7,4,15,10,5
03K07,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,3,37,13,24,37,13,24,37,13,24
03K07,Jahrgangsstufe 09,Regelklasse,3,78,43,35,15,5,10,14,4,10
03K07,Jahrgangsstufe 10,Regelklasse,2,61,31,30,6,3,3,6,3,3
03K07,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,27,18,9,0,0,0,2,1,1
03K08,Jahrgangsstufe 07,Regelklasse,4,103,55,48,3,2,1,0,0,0
03K08,Jahrgangsstufe 08,Regelklasse,4,104,53,51,2,2,0,1,1,0
03K08,Jahrgangsstufe 09,Regelklasse,4,105,55,50,4,3,1,7,3,4
03K08,Jahrgangsstufe 10,Regelklasse,4,115,65,50,3,3,0,6,6,0
03K09,Jahrgangsstufe 07,Regelklasse,3,78,42,36,2,1,1,11,7,4
03K09,Jahrgangsstufe 08,Regelklasse,4,104,65,39,10,9,1,19,15,4
03K09,Jahrgangsstufe 09,Regelklasse,3,78,50,28,3,2,1,13,10,3
03K09,Jahrgangsstufe 10,Regelklasse,4,116,59,57,7,1,6,21,8,13
03K10,Jahrgangsstufe 07,Regelklasse,4,98,63,35,3,2,1,15,10,5
03K10,Jahrgangsstufe 08,Regelklasse,4,104,57,47,2,1,1,4,2,2
03K10,Jahrgangsstufe 09,Produktives Lernen,1,25,17,8,1,1,0,3,3,0
03K10,Jahrgangsstufe 09,Regelklasse,3,78,39,39,3,1,2,5,1,4
03K10,Jahrgangsstufe 10,Produktives Lernen,1,12,4,8,0,0,0,1,1,0
03K10,Jahrgangsstufe 10,Regelklasse,3,49,21,28,1,0,1,2,0,2
03K11,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,9,234,135,99,16,12,4,23,15,8
03K11,Jahrgangsstufe 05,Jahrgangsübergreifende Lerngruppe,3,51,29,22,2,2,0,4,2,2
03K11,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,6,158,83,75,9,5,4,13,8,5
03K11,Jahrgangsstufe 07,Regelklasse,2,52,26,26,0,0,0,0,0,0
03K12,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,56,30,26,0,0,0,0,0,0
03K12,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,48,22,26,0,0,0,0,0,0
03K12,E-Phase,Regelklasse,2,49,19,30,1,0,1,0,0,0
03K12,Jahrgangsstufe 10,Regelklasse,4,118,58,60,1,0,1,3,1,2
03P02,Jahrgangsstufe 04,Regelklasse,1,22,16,6,0,0,0,0,0,0
03P02,Jahrgangsstufe 05,Regelklasse,1,13,9,4,2,1,1,1,0,1
03P02,Jahrgangsstufe 06,Regelklasse,1,13,6,7,0,0,0,0,0,0
03P02,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,35,21,14,0,0,0,0,0,0
03P02,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,2,36,20,16,1,1,0,0,0,0
03P03,Jahrgangsstufe 03,Regelklasse,3,67,40,27,5,2,3,5,2,3
03P03,Jahrgangsstufe 04,Regelklasse,3,62,35,27,1,0,1,4,1,3
03P03,Jahrgangsstufe 05,Regelklasse,2,43,18,25,1,1,0,1,1,0
03P03,Jahrgangsstufe 06,Regelklasse,3,54,24,30,0,0,0,0,0,0
03P03,Jahrgangsstufe 07,Regelklasse,1,24,12,12,0,0,0,0,0,0
03P03,Jahrgangsstufe 08,Regelklasse,1,24,13,11,0,0,0,1,1,0
03P03,Jahrgangsstufe 09,Regelklasse,1,24,12,12,1,1,0,1,1,0
03P03,Jahrgangsstufe 10,Regelklasse,1,26,13,13,1,0,1,0,0,0
03P03,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,96,48,48,5,4,1,8,4,4
03P10,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,63,26,37,0,0,0,0,0,0
03P10,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,69,31,38,0,0,0,0,0,0
03P10,Jahrgangsstufe 05,Altsprachlicher Bildungsgang,2,60,25,35,0,0,0,0,0,0
03P10,Jahrgangsstufe 06,Altsprachlicher Bildungsgang,2,57,13,44,0,0,0,1,1,0
03P10,Jahrgangsstufe 07,Altsprachlicher Bildungsgang,2,60,28,32,0,0,0,0,0,0
03P10,Jahrgangsstufe 07,Regelklasse,1,32,14,18,1,1,0,0,0,0
03P10,Jahrgangsstufe 08,Altsprachlicher Bildungsgang,2,62,29,33,0,0,0,0,0,0
03P10,Jahrgangsstufe 08,Regelklasse,2,60,27,33,0,0,0,0,0,0
03P10,Jahrgangsstufe 09,Altsprachlicher Bildungsgang,2,56,25,31,0,0,0,0,0,0
03P10,Jahrgangsstufe 09,Regelklasse,1,32,10,22,0,0,0,2,0,2
03P10,Jahrgangsstufe 10,Altsprachlicher Bildungsgang,2,59,22,37,2,1,1,0,0,0
03P10,Jahrgangsstufe 10,Regelklasse,1,32,16,16,0,0,0,0,0,0
03P11,Abschlussstufe,Regelklasse,3,18,10,8,0,0,0,0,0,0
03P11,Eingangsstufe,Regelklasse,2,11,8,3,0,0,0,0,0,0
03P11,Mittelstufe,Regelklasse,4,23,14,9,1,0,1,2,0,2
03P11,Oberstufe,Regelklasse,4,24,13,11,1,0,1,1,0,1
03P11,Unterstufe,Regelklasse,3,18,11,7,0,0,0,1,1,0
03P12,Jahrgangsstufe 03,Regelklasse,2,48,25,23,0,0,0,0,0,0
03P12,Jahrgangsstufe 04,Regelklasse,2,49,25,24,0,0,0,0,0,0
03P12,Jahrgangsstufe 05,Regelklasse,2,48,25,23,0,0,0,0,0,0
03P12,Jahrgangsstufe 06,Regelklasse,2,49,22,27,0,0,0,0,0,0
03P12,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,97,46,51,0,0,0,0,0,0
03P13,Jahrgangsstufe 03,Regelklasse,1,9,5,4,0,0,0,0,0,0
03P13,Jahrgangsstufe 06,Regelklasse,3,24,12,12,0,0,0,1,1,0
03P13,Jahrgangsstufe 07,Regelklasse,1,3,1,2,0,0,0,0,0,0
03P13,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,18,8,10,0,0,0,5,3,2
03P14,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,2,43,21,22,2,1,1,3,1,2
03P14,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,2,35,21,14,2,0,2,2,0,2
03P18,Jahrgangsstufe 03,Regelklasse,3,60,36,24,1,1,0,1,1,0
03P18,Jahrgangsstufe 04,Regelklasse,3,50,29,21,0,0,0,0,0,0
03P18,Jahrgangsstufe 05,Regelklasse,2,31,19,12,0,0,0,0,0,0
03P18,Jahrgangsstufe 06,Regelklasse,1,20,6,14,0,0,0,0,0,0
03P18,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,98,53,45,3,1,2,4,2,2
03P20,Jahrgangsstufe 03,Regelklasse,3,61,24,37,0,0,0,1,1,0
03P20,Jahrgangsstufe 04,Regelklasse,2,46,24,22,0,0,0,0,0,0
03P20,Jahrgangsstufe 05,Regelklasse,2,34,16,18,0,0,0,3,1,2
03P20,Jahrgangsstufe 06,Regelklasse,1,24,15,9,0,0,0,2,0,2
03P20,Jahrgangsstufe 07,Regelklasse,1,12,8,4,0,0,0,0,0,0
03P20,Jahrgangsstufe 08,Regelklasse,1,14,6,8,0,0,0,0,0,0
03P20,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,129,74,55,0,0,0,9,3,6
03P21,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,2,46,21,25,0,0,0,0,0,0
03P21,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,2,46,17,29,0,0,0,0,0,0
03P22,Jahrgangsstufe 07,Regelklasse,1,17,12,5,1,1,0,0,0,0
